0,1,5
1,2,10
2,3,15
3,4,20
4,5,25
5,6,30
6,7,35
7,8,40
8,9,45
9,10,50
10,11,55
11,12,60
12,13,65
13,14,70
14,15,75
15,16,80
16,17,85
17,18,90
18,19,95
19,20,100
20,21,105
21,22,110
22,23,115
23,24,120
24,25,125
0,26,13
1,27,18
3,28,28
4,29,33
5,30,38
6,31,43
7,32,48
8,33,53
9,34,58
10,35,63
11,36,68
12,37,73
14,38,83
15,39,88
16,40,93
17,41,98
18,42,103
19,43,108
20,44,113
21,45,118
22,46,123
23,47,128
24,48,133
25,49,138
26,50,26
27,51,31
28,52,41
29,53,46
30,54,51
31,55,56
32,56,61
33,57,66
34,58,71
35,59,76
36,60,81
37,61,86
38,62,96
39,63,101
40,64,106
41,65,111
42,66,116
66,67,121
67,68,126
45,69,131
46,70,136
47,71,141
48,72,146
49,73,151
50,74,39
51,75,44
75,76,49
52,77,54
53,78,59
54,79,64
55,80,69
56,81,74
57,82,79
58,83,84
59,84,89
60,85,94
61,86,99
86,87,104
62,88,109
63,89,114
64,90,119
65,91,124
66,92,129
67,93,134
68,94,139
69,95,144
70,96,149
71,97,154
72,98,159
73,99,164
74,100,52
75,101,57
76,102,62
77,103,67
81,104,87
82,105,92
83,106,97
84,107,102
85,108,107
86,109,112
87,110,117
88,111,122
89,112,127
90,113,132
91,114,137
92,115,142
93,116,147
94,117,152
95,118,157
96,119,162
97,120,167
98,121,172
99,122,177
100,123,65
123,124,70
124,125,75
103,126,80
104,127,100
105,128,105
106,129,110
129,130,115
130,131,120
109,132,125
110,133,130
111,134,135
112,135,140
113,136,145
114,137,150
115,138,155
138,139,160
139,140,165
118,141,170
141,142,175
142,143,180
121,144,185
122,145,190
123,146,78
124,147,83
125,148,88
126,149,93
127,150,113
128,151,118
129,152,123
130,153,128
131,154,133
132,155,138
133,156,143
134,157,148
135,158,153
136,159,158
159,160,163
160,161,168
139,162,173
162,163,178
163,164,183
142,165,188
165,166,193
166,167,198
145,168,203
